Area,State Name,LGA Name,lga_code_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly
"Serpentine-Jarrahdale, Western Australia",Western Australia,Serpentine-Jarrahdale (S),57700,32,2145,773,380,1951
"Corrigin, Western Australia",Western Australia,Corrigin (S),52100,44,1000,748,137,1672
"Charles Sturt, South Australia",South Australia,Charles Sturt (C),41060,41,1700,614,288,1607
"Flinders , Tasmania",Tasmania,Flinders (M) (Tas.),62010,53,758,575,100,1362
"Strathbogie, Victoria",Victoria,Strathbogie (S),26430,52,1170,546,190,1293
"Morawa, Western Australia",Western Australia,Morawa (S),55670,38,542,560,150,1357
"Buloke, Victoria",Victoria,Buloke (S),21270,51,693,473,120,1110
"Edward River, New South Wales",New South Wales,Edward River (A),12730,45,1083,595,185,1399
"Marion, South Australia",South Australia,Marion (C),44060,39,1625,628,300,1625
"Macedon Ranges, Victoria",Victoria,Macedon Ranges (S),24130,42,1733,702,315,1932
"Berri and Barmera, South Australia",South Australia,Berri and Barmera (DC),40520,45,1083,533,180,1252
"Mitchell, Victoria",Victoria,Mitchell (S),24850,37,1582,648,265,1620
"Bellingen, New South Wales",New South Wales,Bellingen (A),10600,49,1400,515,280,1218
"Napranum, Queensland",Queensland,Napranum (S),35670,25,0,280,120,776
"Wyndham, Victoria",Victoria,Wyndham (C),27260,32,1733,685,320,1714
"Goulburn Mulwaree, New South Wales",New South Wales,Goulburn Mulwaree (A),13310,42,1517,625,260,1505
"Byron, New South Wales",New South Wales,Byron (A),11350,44,1733,596,400,1389
"Gold Coast, Queensland",Queensland,Gold Coast (C),33430,38,1950,666,390,1657
"Mount Gambier, South Australia",South Australia,Mount Gambier (C),44620,40,1172,589,190,1388
"Maroondah, Victoria",Victoria,Maroondah (C),24410,38,1800,696,341,1895
"Perenjori, Western Australia",Western Australia,Perenjori (S),57000,42,800,1188,110,1699
"Irwin, Western Australia",Western Australia,Irwin (S),54060,49,1733,547,240,1351
"Boyup Brook, Western Australia",Western Australia,Boyup Brook (S),50770,49,1300,600,133,1363
"West Torrens, South Australia",South Australia,West Torrens (C),48410,38,1700,614,280,1612
"Coorow, Western Australia",Western Australia,Coorow (S),52030,52,1400,549,175,1239
"Ceduna, South Australia",South Australia,Ceduna (DC),41010,39,1300,696,186,1503
"Bayswater, Western Australia",Western Australia,Bayswater (C),50420,37,2000,732,350,1874
"Somerset, Queensland",Queensland,Somerset (R),36580,43,1500,512,275,1256
"Vincent, Western Australia",Western Australia,Vincent (C),58570,34,2275,992,410,2553
"Gingin, Western Australia",Western Australia,Gingin (S),53570,47,1733,567,250,1329
"Victoria Plains, Western Australia",Western Australia,Victoria Plains (S),58540,45,867,706,100,1602
"Lower Eyre Peninsula, South Australia",South Australia,Lower Eyre Peninsula (DC),43710,43,1342,672,180,1490
"South Gippsland, Victoria",Victoria,South Gippsland (S),26170,47,1300,537,214,1320
"Wollondilly, New South Wales",New South Wales,Wollondilly (A),18400,37,2167,738,365,2032
"Charters Towers, Queensland",Queensland,Charters Towers (R),32310,40,1300,522,200,1323
"Leeton, New South Wales",New South Wales,Leeton (A),14750,40,1300,607,195,1456
"Northern Midlands, Tasmania",Tasmania,Northern Midlands (M),64610,46,1300,555,200,1326
"Barkly, Northern Territory",Northern Territory,Barkly (R),70420,28,1200,375,80,959
"Murray Bridge, South Australia",South Australia,Murray Bridge (RC),45040,41,1183,526,220,1215
"Cambridge, Western Australia",Western Australia,Cambridge (T),51310,40,2800,1034,450,3306
"Dandaragan, Western Australia",Western Australia,Dandaragan (S),52590,48,1700,636,260,1445
"Griffith, New South Wales",New South Wales,Griffith (C),13450,37,1495,674,220,1555
"Ku-ring-gai, New South Wales",New South Wales,Ku-ring-gai (A),14500,41,3000,942,650,3046
"Hunters Hill, New South Wales",New South Wales,Hunters Hill (A),14100,43,3033,977,490,3301
"Muswellbrook, New South Wales",New South Wales,Muswellbrook (A),15650,35,1733,640,250,1665
"Derby-West Kimberley, Western Australia",Western Australia,Derby-West Kimberley (S),52800,30,1733,433,100,1077
"Boulia, Queensland",Queensland,Boulia (S),30900,34,867,753,85,1553
"Devonport, Tasmania",Tasmania,Devonport (C),61610,43,1200,514,220,1224
"Unley, South Australia",South Australia,Unley (C),47980,41,2000,791,315,2289
"Richmond, Queensland",Queensland,Richmond (S),36300,35,710,655,80,1402
"Rockdale, New South Wales",New South Wales,Rockdale (C),16650,35,2167,666,460,1746
